Spain,Italy,Germany,France,UK,Portugal,Sweden,Belgium,Austria
0.0,3.01,1.0,0.0,0.0,0.0,0.99,0.0,0.0
0.0,4.01,1.01,0.0,0.0,0.0,1.01,0.0,0.0
0.0,4.57,2.01,0.0,0.0,0.0,1.02,0.0,0.0
0.0,4.3,3.01,0.0,0.0,0.0,2.02,0.0,0.0
1.0,4.23,4.01,1.0,0.0,0.0,3.02,0.0,1.0
2.0,4.1,5.01,2.0,0.0,0.0,4.02,0.0,2.0
3.0,3.87,4.87,3.0,0.0,0.0,2.92,0.0,3.0
4.0,3.58,5.87,4.0,0.0,0.0,3.72,0.0,4.0
5.0,3.54,4.44,3.86,0.0,0.0,2.87,0.0,3.92
4.25,2.82,3.58,3.81,0.0,0.0,3.87,1.0,3.43
3.99,2.95,4.58,3.41,0.0,1.0,4.87,2.0,3.76
3.6,2.9,4.66,4.41,0.0,2.0,5.87,3.0,4.28
3.61,3.11,4.8,4.52,0.0,3.0,6.09,4.0,4.21
4.03,3.17,3.6,4.68,0.0,4.0,3.41,5.0,3.96
4.14,3.38,2.97,3.52,0.0,3.86,4.13,3.65,3.96
4.75,2.88,3.07,3.09,0.0,3.45,3.64,2.53,3.7
4.59,2.6,2.73,2.8,0.0,2.7,3.7,2.46,3.63
4.53,2.42,3.4,3.75,0.0,3.7,3.99,2.32,4.16
4.13,2.77,3.84,3.31,0.0,4.34,3.6,3.32,4.25
4.09,2.67,3.8,2.73,0.0,4.46,2.85,3.61,4.19
5.09,3.21,4.44,3.68,0.0,5.46,2.78,4.43,4.47
2.85,2.45,3.31,2.84,0.0,4.58,2.01,3.09,3.46
2.92,2.27,3.38,2.82,0.0,4.24,1.68,2.95,3.33
2.88,2.19,3.44,3.34,0.0,3.91,1.76,2.7,3.12
2.7,2.22,3.48,2.58,0.0,3.79,1.85,2.67,3.29
2.9,2.24,3.52,2.63,0.0,3.64,1.95,2.74,2.93
2.86,2.3,2.92,2.44,0.0,4.46,2.02,2.89,2.89
2.54,2.13,2.63,2.18,0.0,3.39,1.99,2.76,2.91
2.6,1.9,2.11,2.01,0.0,3.22,1.82,2.28,3.02
2.51,1.8,2.09,1.94,0.0,3.1,1.86,2.33,3.1
2.62,1.7,2.07,2.38,0.0,2.96,1.85,2.07,2.59
2.34,1.67,1.94,1.97,0.0,2.76,1.98,2.49,2.27
2.41,1.66,2.27,2.14,0.0,2.95,2.0,2.83,2.07
2.03,1.65,2.24,2.15,0.0,2.75,1.94,2.91,2.22
1.8,1.58,2.05,1.99,0.0,2.71,1.86,2.57,1.67
1.7,1.44,1.62,1.97,0.0,2.4,1.92,2.58,1.55
1.71,1.36,1.43,1.84,0.0,2.19,1.81,1.99,1.36
1.68,1.28,1.35,2.01,0.0,2.06,1.85,1.67,1.34
1.56,1.33,1.52,1.68,0.0,2.13,1.91,1.62,1.13
1.43,1.33,1.56,1.39,0.0,1.94,1.84,1.69,1.13
1.35,1.3,1.52,1.27,0.0,1.79,1.8,1.74,0.97
1.25,1.31,1.44,1.38,0.0,1.73,1.63,1.66,0.85
1.22,1.29,1.33,1.27,0.0,1.56,1.53,1.58,0.73
1.18,1.22,1.06,1.21,0.0,1.52,1.57,1.44,0.72
1.19,1.15,0.76,1.26,0.0,1.47,1.63,1.45,0.72
1.11,1.12,0.53,1.2,0.0,1.56,1.66,1.43,0.63
1.07,1.15,0.79,1.25,0.0,1.62,1.65,1.38,0.52
1.07,1.17,1.0,1.25,0.0,1.63,1.54,1.45,0.42
1.07,1.18,1.06,2.16,0.0,1.56,1.41,1.4,0.49
1.05,1.19,0.83,2.24,0.0,1.3,1.43,1.34,0.58
1.01,1.14,0.74,2.54,0.0,1.28,1.38,1.36,0.6
1.04,1.11,0.66,1.39,0.0,1.27,1.39,1.34,0.57
1.14,1.1,0.63,1.36,0.0,1.26,1.36,1.36,0.26
1.27,1.09,0.72,1.19,0.0,1.26,1.37,1.43,0.0
1.32,1.08,0.72,1.3,0.0,1.23,1.44,1.2,0.0
1.32,1.05,0.72,1.05,0.0,1.21,1.48,1.25,0.03
1.12,1.04,0.78,1.09,0.0,1.29,1.38,1.31,0.33
1.1,1.01,0.63,1.19,0.0,1.22,1.36,1.29,0.45
