date,t,s,i,r
2020-05-31,97,57216970.213657126,217198.92852901868,2565830.8578138393
2020-06-01,98,57212585.091865584,206455.9639901364,2580958.9441442653
2020-06-02,99,57208543.61320006,196122.07846443672,2595334.308335485
2020-06-03,100,57204821.11231212,186192.86747150635,2608986.0202163598
2020-06-04,101,57201394.43576931,176662.77099081688,2621942.7932398603
2020-06-05,102,57198241.879447244,167525.21448490454,2634232.906067843
2020-06-06,103,57195343.12488322,158772.7390683519,2645884.136048415
2020-06-07,104,57192679.17463453,150397.1258624858,2656923.6995029715
2020-06-08,105,57190232.28818716,142389.5097103789,2667378.2021024497
2020-06-09,106,57187985.91796869,134740.48558254258,2677273.5964487544
2020-06-10,107,57185924.6461496,127440.20709986093,2686635.1467505298
2020-06-11,108,57184034.12327059,120478.4755289151,2695487.4012004808
2020-06-12,109,57182301.00740727,113844.82344067024,2703854.1691520484
2020-06-13,110,57180712.90612289,107528.58880795105,2711758.505069146
2020-06-14,111,57179258.31953867,101518.98355337499,2719222.696907949
2020-06-15,112,57177926.585761786,95805.15491688966,2726268.2593213157
2020-06-16,113,57176707.82875602,90376.24001280266,2732915.9312311737
2020-06-17,114,57175592.90770764,85221.41564671801,2739185.6766456356
2020-06-18,115,57174573.36961208,80329.94110416618,2745096.6892837407
2020-06-19,116,57173641.4032879,75691.1969563098,2750667.3997557857
2020-06-20,117,57172789.79623523,71294.71829527772,2755915.485469486
2020-06-21,118,57172011.893644094,67130.22360905785,2760857.8827468413
2020-06-22,119,57171301.55935214,63187.6398493717,2765510.8007984827
2020-06-23,120,57170653.13955223,59457.12303122277,2769889.737416538
2020-06-24,121,57170061.42794098,55929.07607929186,2774009.4959797156
2020-06-25,122,57169521.63353195,52594.16287715709,2777884.2035908755
2020-06-26,123,57169029.350169145,49443.319670718505,2781527.3301601177
2020-06-27,124,57168580.527853854,46467.763937421856,2784951.7082087086
2020-06-28,125,57168171.44626492,43659.00060928842,2788169.553125779
2020-06-29,126,57167798.68957792,41008.82646817925,2791192.483953886
2020-06-30,127,57167459.12333538,38509.3324055993,2794031.544259013
2020-07-01,128,57167149.87270133,36152.90409636646,2796697.223202286
2020-07-02,129,57166868.3021913,33932.22120093638,2799199.4766077423
2020-07-03,130,57166611.99700431,31840.25519841724,2801547.747797261
2020-07-04,131,57166378.74544573,29870.266112573874,2803750.988441677
2020-07-05,132,57166166.52281859,28015.798250977496,2805817.6789304125
2020-07-06,133,57165973.47638575,26270.675079733293,2807755.8485344956
2020-07-07,134,57165797.91144461,24628.99338472759,2809573.095170642
2020-07-08,135,57165638.27851753,23085.116859422396,2811276.604623026
2020-07-09,136,57165493.16140583,21633.669131471004,2812873.1694626748
2020-07-10,137,57165361.26624466,20269.526489367585,2814369.2072659475
2020-07-11,138,57165241.41135371,18987.81021742211,2815770.778428843
