date,t,R0=0.5,R0=1,R0=1.1,R0=1.2,infetti_reali
2020-03-23,28,38871.97769601062,38871.97769601062,38871.97769601062,38871.97769601062,50418.0
2020-03-24,29,42587.52642779876,42587.52642779876,42587.52642779876,42587.52642779876,54030.0
2020-03-25,30,46429.65293911871,46429.65293911871,46429.65293911871,46429.65293911871,57521.0
2020-03-26,31,50377.74882898693,50377.74882898693,50377.74882898693,50377.74882898693,62013.0
2020-03-27,32,54409.364158219985,54409.364158219985,54409.364158219985,54409.364158219985,66414.0
2020-03-28,33,58500.51263467871,58500.51263467871,58500.51263467871,58500.51263467871,70065.0
2020-03-29,34,62626.0042229419,62626.0042229419,62626.0042229419,62626.0042229419,73880.0
2020-03-30,35,66759.79692733251,66759.79692733251,66759.79692733251,66759.79692733251,75528.0
2020-03-31,36,70875.35955363745,70875.35955363745,70875.35955363745,70875.35955363745,77635.0
2020-04-01,37,74946.03646666119,74946.03646666119,74946.03646666119,74946.03646666119,80572.0
2020-04-02,38,78945.40720547973,78945.40720547973,78945.40720547973,78945.40720547973,83049.0
2020-04-03,39,82847.63280645834,82847.63280645834,82847.63280645834,82847.63280645834,85388.0
2020-04-04,40,86627.78239427866,86627.78239427866,86627.78239427866,86627.78239427866,88274.0
2020-04-05,41,90262.13440161559,90262.13440161559,90262.13440161559,90262.13440161559,91246.0
2020-04-06,42,93728.44715867267,93728.44715867267,93728.44715867267,93728.44715867267,93187.0
2020-04-07,43,97006.19533748999,97006.19533748999,97006.19533748999,97006.19533748999,94067.0
2020-04-08,44,100076.76973082976,100076.76973082976,100076.76973082976,100076.76973082976,95262.0
2020-04-09,45,102923.63843105716,102923.63843105716,102923.63843105716,102923.63843105716,96877.0
2020-04-10,46,105532.46885778858,105532.46885778858,105532.46885778858,105532.46885778858,98273.0
2020-04-11,47,107891.21010734329,107891.21010734329,107891.21010734329,107891.21010734329,100269.0
2020-04-12,48,109990.13950738816,109990.13950738816,109990.13950738816,109990.13950738816,102253.0
2020-04-13,49,111821.87197967323,111821.87197967323,111821.87197967323,111821.87197967323,103616.0
2020-04-14,50,113381.33528064948,113381.33528064948,113381.33528064948,113381.33528064948,104291.0
2020-04-15,51,114665.71619817182,114665.71619817182,114665.71619817182,114665.71619817182,105418.0
2020-04-16,52,115674.37882099654,115674.37882099654,115674.37882099654,115674.37882099654,106607.0
2020-04-17,53,116408.75881403225,116408.75881403225,116408.75881403225,116408.75881403225,106962.0
2020-04-18,54,116872.2385475037,116872.2385475037,116872.2385475037,116872.2385475037,107771.0
2020-04-19,55,117070.00501830259,117070.00501830259,117070.00501830259,117070.00501830259,108257.0
2020-04-20,56,117008.8956753388,117008.8956753388,117008.8956753388,117008.8956753388,108237.0
2020-04-21,57,116697.23477910733,116697.23477910733,116697.23477910733,116697.23477910733,107709.0
2020-04-22,58,116144.66379579237,116144.66379579237,116144.66379579237,116144.66379579237,107699.0
2020-04-23,59,115361.96931774101,115361.96931774101,115361.96931774101,115361.96931774101,106848.0
2020-04-24,60,114360.91056388667,114360.91056388667,114360.91056388667,114360.91056388667,106527.0
2020-04-25,61,113154.04961763792,113154.04961763792,113154.04961763792,113154.04961763792,105847.0
2020-04-26,62,111754.58650019435,111754.58650019435,111754.58650019435,111754.58650019435,106103.0
2020-04-27,63,110176.200254184,110176.200254184,110176.200254184,110176.200254184,105813.0
2020-04-28,64,108432.89833385499,108432.89833385499,108432.89833385499,108432.89833385499,105205.0
2020-04-29,65,106538.87548935732,106538.87548935732,106538.87548935732,106538.87548935732,104657.0
2020-04-30,66,104508.38261508061,104508.38261508061,104508.38261508061,104508.38261508061,101551.0
2020-05-01,67,102355.60669666331,102355.60669666331,102355.60669666331,102355.60669666331,100943.0
2020-05-02,68,100094.561892163,100094.561892163,100094.561892163,100094.561892163,100704.0
2020-05-03,69,97738.99243825708,97738.99243825708,97738.99243825708,97738.99243825708,100179.0
2020-05-04,70,95302.28654648497,95302.28251004954,95302.28405827587,95302.28688605112,99980.0
2020-05-05,71,91892.50963616231,95164.57197538989,95832.76723802625,96505.62725786271,98467.0
2020-05-06,72,88604.22052193608,95024.80170992935,96363.41144083899,97720.77214225428,91528.0
2020-05-07,73,85433.12691414774,94882.98435399035,96894.17177532124,98947.7395760502,89624.0
2020-05-08,74,82375.08523701306,94739.13380823946,97425.00332782052,100186.54851359296,87961.0
2020-05-09,75,79426.09615276195,94593.26412674102,97955.86071571073,101437.21490185324,84842.0
2020-05-10,76,76582.29959866569,94445.38950375421,98486.69808300561,102699.75159407833,83324.0
2020-05-11,77,73839.97010434594,94295.52427937127,99017.46910803988,103974.1682725713,82488.0
2020-05-12,78,71195.51223442963,94143.68293518882,99548.12702154276,105260.47136607394,
2020-05-13,79,68645.45626990705,93989.88008967339,100078.62458763074,106558.663944292,
2020-05-14,80,66186.45397644266,93834.13048937137,100608.91410885385,107868.74563210389,
2020-05-15,81,63815.27396494904,93676.44900320604,101138.94743529822,109190.71251959207,
2020-05-16,82,61528.79786158012,93516.85064835746,101668.67596957945,110524.55706523977,
2020-05-17,83,59324.0173231943,93355.35057341174,102198.0506738249,111870.26800431508,
2020-05-18,84,57198.02957023749,93191.96405507054,102727.02212881739,113227.83025745807,
2020-05-19,85,55148.03399919949,93026.70649515821,103255.54048865772,114597.2248319055,
2020-05-20,86,53171.3278796404,92859.59341762896,103783.55547577569,115978.42873175861,
2020-05-21,87,51265.304000447584,92690.64046557386,104311.01640327332,117371.41485453029,
