date,t,s,i,r
2020-06-20,117,59002402.88510096,53018.55191714787,944578.5629818912
2020-06-21,118,59002180.07382352,50770.54694134621,947049.3792351248
2020-06-22,119,59001974.709338404,48610.048512665766,949415.2421489212
2020-06-23,120,59001785.4553016,46534.291938767,951680.2527596278
2020-06-24,121,59001611.07429851,44540.54451152195,953848.381189962
2020-06-25,122,59001450.42092029,42626.11077724052,955923.468302464
2020-06-26,123,59001302.43528147,40788.3371311325,957909.2275873907
2020-06-27,124,59001166.13692331,39024.61583542855,959809.2472412541
2020-06-28,125,59001040.61916777,37332.38838190812,961626.992450318
2020-06-29,126,59000925.043809265,35709.14838615701,963365.8078045739
2020-06-30,127,59000818.63610575,34152.44407849545,965028.9198157418
2020-07-01,128,59000720.68023658,32659.880170689572,966619.4395927293
2020-07-02,129,59000630.51497615,31229.119459569956,968140.3655642741
2020-07-03,130,59000547.529625535,29857.88411568805,969594.5862587702
2020-07-04,131,59000471.16035779,28543.95646219955,970984.8831800085
2020-07-05,132,59000400.88671585,27285.17960804763,972313.9336760998
2020-07-06,133,59000336.22835238,26079.457825058966,973584.3138225556
2020-07-07,134,59000276.74206789,24924.75655937668,974798.5013727283
2020-07-08,135,59000222.01900914,23819.10234086856,975958.878649987
2020-07-09,136,59000171.68207901,22760.582483506118,977067.7354374793
2020-07-10,137,59000125.38353673,21747.344571218917,978127.2718920483
2020-07-11,138,59000082.802770145,20777.59585131462,979139.6013785419
2020-07-12,139,59000043.64423095,19849.602479975994,980106.7532890752
2020-07-13,140,59000007.6355202,18961.68862764365,981030.6758521518
2020-07-14,141,58999974.52561415,18112.2355357792,981913.2388500673
2020-07-15,142,58999944.08322279,17299.680463956876,982756.2363132426
2020-07-16,143,58999916.095272444,16522.5155483763,983561.3891791725
2020-07-17,144,58999890.36549473,15779.286647101344,984330.3478581635
2020-07-18,145,58999866.71312729,15068.592104198116,985064.6947685046
2020-07-19,146,58999844.97171401,14389.081468263637,985765.9468177231
2020-07-20,147,58999824.98798608,13739.45422296025,986435.5577909579
2020-07-21,148,58999806.62083743,13118.45845621479,987074.9207063563
