date,t,R0=0.5,R0=1,R0=1.1,R0=1.2,infetti_reali
2020-06-01,98,46774.817653102626,74647.38128896728,81949.8695315634,89961.17285022176,
2020-06-02,99,45655.73756369323,74579.04745436799,82255.73239053265,90716.26202960058,
2020-06-03,100,44563.37463364684,74510.15831030646,82561.8236859335,91476.36199509026,
2020-06-04,101,43497.09364305762,74440.71619134462,82868.13427243453,92241.48172703695,
2020-06-05,102,42456.27441870684,74370.72344594618,83174.65492728869,93011.62972560182,
2020-06-06,103,41440.311434409516,74300.18243633394,83481.37635061606,93786.81398900303,
2020-06-07,104,40448.61336118307,74229.09553835561,83788.28916621751,94567.04201032444,
2020-06-08,105,39480.60286873207,74157.46514129874,84095.38392129994,95352.32077685843,
2020-06-09,106,38535.71632551141,74085.29364748547,84402.65108613919,96142.65675417359,
2020-06-10,107,37613.40329876888,74012.58347246631,84710.08105461435,96938.05587627024,
2020-06-11,108,36713.12646257672,73939.33704485233,85017.66414716952,97738.5235357359,
2020-06-12,109,35834.36121578939,73865.55680606588,85325.39060978322,98544.06455601554,
2020-06-13,110,34976.5952508623,73791.24521018114,85633.25061021095,99354.68318343737,
2020-06-14,111,34139.32831544286,73716.40472376408,85941.23424076514,100170.3831007943,
2020-06-15,112,33322.07196183868,73641.03782571167,86249.3315185291,100991.16740406242,
2020-06-16,113,32524.34949013284,73565.14700709049,86557.53238557944,101817.03859200893,
2020-06-17,114,31745.695448374197,73488.7347709748,86865.82670922086,102647.99855580559,
2020-06-18,115,30985.655451492403,73411.8036322838,87174.20428223241,103484.0485542068,
2020-06-19,116,30243.785980548055,73334.35611761846,87482.65482312592,104325.18920752824,
2020-06-20,117,29519.653932159836,73256.39476509752,87791.16797641605,105171.42049443653,
2020-06-21,118,28812.83628768755,73177.92212419305,88099.73331290232,106022.7417449394,
2020-06-22,119,28122.92012090674,73098.94075556521,88408.34032996303,106879.15162346103,
2020-06-23,120,27449.502252584094,73019.45323089648,88716.97845186101,107740.64811819555,
2020-06-24,121,26792.189188923352,72939.46213272522,89025.63704023517,108607.22851997525,
2020-06-25,122,26150.596779815085,72858.97005427054,89334.3053930782,109478.88940103831,
2020-06-26,123,25524.350010525955,72777.97959869388,89642.9727261528,110355.62663724349,
2020-06-27,124,24913.082769612887,72696.49337956763,89951.62818470178,111237.43538161692,
2020-06-28,125,24316.437547372207,72614.51402092142,90260.26084400622,112124.31005217908,
2020-06-29,126,23734.065366963234,72532.04415676942,90568.85970987506,113016.24432036461,
2020-06-30,127,23165.62553622761,72449.08643093838,90877.4137191506,113913.23109934347,
2020-07-01,128,22610.785470101226,72365.64349689474,91185.91174022957,114815.26253224291,
2020-07-02,129,22069.220492194767,72281.71801757129,91494.34257359983,115722.32998027084,
2020-07-03,130,21540.613642596363,72197.3126651929,91802.69495239297,116634.42400723482,
2020-07-04,131,21024.655500092915,72112.43012110186,92110.95754295228,117551.53435991362,
2020-07-05,132,20521.043993094256,72027.07307558222,92419.11894541666,118473.64997250658,
2020-07-06,133,20029.484241802682,71941.24422768371,92727.1676943201,119400.75894770928,
2020-07-07,134,19549.688387772556,71854.94628504482,93035.09225666452,120332.84854342228,
2020-07-08,135,19081.375417463114,71768.1819637153,93342.88103204146,121269.90516006369,
2020-07-09,136,18624.270998931715,71680.95398797785,93650.52235937353,122211.91432777273,
2020-07-10,137,18178.107337043893,71593.26509016925,93958.00451421713,123158.86069350428,
2020-07-11,138,17742.623014457196,71505.11801050078,94265.31570934637,124110.72800801431,
2020-07-12,139,17317.562833375585,71416.51549687804,94572.4440954146,125067.49912987599,
2020-07-13,140,16902.67767640657,71327.46030752406,94879.37776163053,126029.1560795059,
2020-07-14,141,16497.724364247693,71237.95520881032,95186.10473644908,126995.67990624992,
2020-07-15,142,16102.465507655657,71148.00297211538,95492.61298827648,127967.05071386613,
2020-07-16,143,15716.669363336478,71057.60637595668,95798.89042619051,128943.24765729536,
2020-07-17,144,15340.109722271498,70966.76820581767,96104.92490067474,129924.24893052712,
2020-07-18,145,14972.565773461298,70875.49125397469,96410.70420436788,130910.03175442887,
2020-07-19,146,14613.821979359624,70783.77831932329,96716.21607282739,131900.5723645382,
2020-07-20,147,14263.667930882852,70691.6322072042,97021.44818242743,132895.8459988181,
2020-07-21,148,13921.898205819087,70599.05572922902,97326.38814944564,133895.8268938805,
2020-07-22,149,13588.312305312907,70506.05170310538,97631.02353955638,134900.48833142742,
2020-07-23,150,13262.714518108574,70412.62295246184,97935.34186421944,135909.80253720868,
2020-07-24,151,12944.913809539306,70318.77230667228,98239.33058131947,136923.74068913807,
2020-07-25,152,12634.723693246046,70224.50260068002,98542.97709597567,137942.27291661382,
2020-07-26,153,12331.962108038397,70129.8166748214,98846.26876136458,138965.3682892406,
2020-07-27,154,12036.45135796495,70034.71737464918,99149.19287955617,139992.99480557066,
2020-07-28,155,11748.017993104279,69939.20755075538,99451.73670236299,141025.1193818641,
2020-07-29,156,11466.492711269204,69843.29005859379,99753.8874322026,142061.70784086836,
2020-07-30,157,11191.710242246154,69746.96776098703,100055.63222297312,143102.72490480932,
2020-07-31,158,10923.50923879877,69650.24352775751,100356.958180942,144148.1342375643,
2020-08-01,159,10661.732225488517,69553.12022976509,100657.85236564798,145197.89836460765,
2020-08-02,160,10406.225491735991,69455.60074218966,100958.30179121358,146251.97866844563,
2020-08-03,161,10156.839004611835,69357.6879444102,101258.29342769476,147310.33539159838,
2020-08-04,162,9913.426305427738,69259.38471983891,101557.81420053779,148372.92762652537,
2020-08-05,163,9675.844414225443,69160.69395575556,101856.85099223709,149439.71330561946,
2020-08-06,164,9443.953783624465,69061.61854314164,102155.39064335039,150510.64919126863,
2020-08-07,165,9217.618203970966,68962.16137651462,102453.41995348637,151585.69086598622,
2020-08-08,166,8996.704725995363,68862.32535376213,102750.92568230578,152664.79272485586,
2020-08-09,167,8781.083568670494,68762.11337597622,103047.89455053576,153747.9080271022,
2020-08-10,168,8570.62803573406,68661.5283472874,103344.31324099789,154834.98882056258,
2020-08-11,169,8365.214473688597,68560.57317469898,103640.16839964942,155925.98592344168,
2020-08-12,170,8164.722187926735,68459.25076792105,103935.44663663795,157020.84893659715,
