date,t,s,i,r
2020-04-15,51,59343168.62955929,331279.08592175966,325552.28451897786
2020-04-16,52,59325488.8076669,333136.8164775193,341374.37585561397
2020-04-17,53,59308399.7399627,334331.1903589647,357269.0696783737
2020-04-18,54,59291914.106291085,334880.6892737348,373205.20443520806
2020-04-19,55,59276040.616122834,334806.8109859366,389152.5728912615
2020-04-20,56,59260784.28239124,334133.6631349069,405082.0544738777
2020-04-21,57,59246146.708114825,332887.5604989091,420965.7313862881
2020-04-22,58,59232126.37678489,331096.63985575736,436776.98335937574
2020-04-23,59,59218718.94541536,328790.48845617817,452490.5661284818
2020-04-24,60,59205917.53447065,325999.79363658803,468082.67189278844
2020-04-25,61,59193713.01059641,322756.0157327273,483530.9736708815
2020-04-26,62,59182094.26286196,319091.08204906393,498814.6550890002
2020-04-27,63,59171048.4643287,315037.11017725244,513914.42549407383
2020-04-28,64,59160561.32471273,310626.1520311385,528812.5232561509
2020-04-29,65,59150617.32266673,305889.97074450686,543492.706588791
2020-04-30,66,59141199.931088366,300859.8335069749,557940.235404685
2020-05-01,67,59132291.820744604,295566.3355240574,572141.8437313673
2020-05-02,68,59123875.04614735,290039.2511275564,586085.7027251262
2020-05-03,69,59115931.222079076,284307.39833699627,599761.3795839607
2020-05-04,70,59108441.67635458,278398.5351486675,613159.788496782
2020-05-05,71,59101387.59380709,272339.26736627275,626273.1388266674
2020-05-06,72,59094750.139888145,266154.98230655986,639094.8778053229
2020-05-07,73,59088510.573185496,259869.79533852177,651619.6314760086
2020-05-08,74,59082650.34275035,253506.51399302916,663843.1432566486
2020-05-09,75,59077151.17314175,247086.6158180372,675762.2110402428
2020-05-10,76,59071995.13704473,240630.23935709463,687374.6235982038
2020-05-11,77,59067164.71695648,234156.18622690064,698679.0968166462
2020-05-12,78,59062642.85656747,227681.9331366686,709675.2102958866
2020-05-13,79,59058413.00257833,221223.6527324447,720363.3446892439
2020-05-14,80,59054459.138225354,214796.24150183317,730744.6202728348
2020-05-15,81,59050765.80867462,208413.35434089747,740820.8369845091
2020-05-16,82,59047318.13984615,202087.44394015192,750594.4162137226
2020-05-17,83,59044101.85073257,195829.80467594616,760068.3445915093
2020-05-18,84,59041103.26101089,189650.6192057193,769246.119783413
2020-05-19,85,59038309.292099245,183559.00883947843,778131.6990613019
2020-05-20,86,59035707.46585342,177563.08448590466,786729.4496606985
2020-05-21,87,59033285.89883444,171669.9991739017,795044.101991693
2020-05-22,88,59031033.29320535,165886.00127694153,803080.7055177406
2020-05-23,89,59028938.925763264,160216.4876964575,810844.5865403014
2020-05-24,90,59026992.634007245,154666.05667296966,818341.3093198108
2020-05-25,91,59025184.800895944,149238.56008517186,825576.6390189105
2020-05-26,92,59023506.33807131,143937.15452616417,832556.5074025481
2020-05-27,93,59021948.66792133,138764.3509191094,839286.9811595854
2020-05-28,94,59020503.70477804,133722.06328054832,845774.2319414321
2020-05-29,95,59019163.83569653,128811.65490547646,852024.509398008
2020-05-30,96,59017921.900655314,124033.98349654624,858044.1158481555
2020-05-31,97,59016771.172692135,119389.4440981189,863839.3832097693
2020-06-01,98,59015705.3381748,114878.00969964602,869416.6521255788
2020-06-02,99,59014718.476815745,110499.27062965588,874782.2525546188
2020-06-03,100,59013805.04241085,106252.47093694528,879942.486652228
2020-06-04,101,59012959.843566895,102136.5434143254,884903.6130188067
2020-06-05,102,59012178.02496621,98150.14240262179,889671.8326311896
2020-06-06,103,59011455.04935434,94291.67420447426,894253.2764412037
2020-06-07,104,59010786.679639295,90559.32624694686,898653.9941137736
2020-06-08,105,59010168.96205612,86951.0935832664,902879.9443606306
2020-06-09,106,59009598.20965469,83464.80400496756,906936.9863403643
2020-06-10,107,59009070.98648642,80098.14128822992,910830.872225368
2020-06-11,108,59008584.09266819,76848.66640320205,914567.2409286287
2020-06-12,109,59008134.54975459,73713.83758157887,918151.6126638483
2020-06-13,110,59007719.587128796,70691.02833457707,921589.3845366434
2020-06-14,111,59007336.62886012,67777.54423745356,924885.8269024419
2020-06-15,112,59006983.28123601,64970.638275213125,928046.080488796
2020-06-16,113,59006657.32110056,62267.52464276641,931075.1542566898
2020-06-17,114,59006356.68450614,59665.39167104499,933977.9238228323
2020-06-18,115,59006079.45628092,57161.41319728484,936759.130521821
2020-06-19,116,59005823.8602168,54752.75878838351,939423.380994838
2020-06-20,117,59005588.24945739,52436.60335699334,941975.1471856375
2020-06-21,118,59005371.09782127,50210.13537932887,944418.7667994214
2020-06-22,119,59005170.99150846,48070.56436227504,946758.4441292885
2020-06-23,120,59004986.62120795,46015.12756911883,948998.2512229555
2020-06-24,121,59004816.774926096,44041.09573204562,951142.1293418831
2020-06-25,122,59004660.33109342,42145.778220300104,953193.8906863005
2020-06-26,123,59004516.252108715,40326.52754117941,955157.2203501357
2020-06-27,124,59004383.578432806,38580.74312304555,957035.6784441798
2020-06-28,125,59004261.42293238,36905.87463224211,958832.7024354094
2020-06-29,126,59004148.96564297,35299.42474617068,960551.6096108939
2020-06-30,127,59004045.44894714,33758.95143092131,962195.5996219699
2020-07-01,128,59003950.17297238,32282.06983093079,963767.75719672
2020-07-02,129,59003862.4913625,30866.453744748644,965271.0548927846
2020-07-03,130,59003781.80735684,29509.836737722624,966708.3559054704
2020-07-04,131,59003707.570084535,28210.01295433376,968082.4169611657
2020-07-05,132,59003639.27116242,26964.837639771366,969395.8911978394
2020-07-06,133,59003576.44152825,25772.22740761517,970651.3310641658
2020-07-07,134,59003518.648474954,24630.160247519405,971851.191277557
2020-07-08,135,59003465.492920905,23536.675357611297,972997.8317215176
2020-07-09,136,59003416.60686788,22489.872777276334,974093.5203548783
2020-07-10,137,59003371.65103898,21487.912847839638,975140.4361132071
2020-07-11,138,59003330.31269544,20529.015571111322,976140.671733473
2020-07-12,139,59003292.303608984,19611.459790595494,977096.2366004507
2020-07-13,140,59003257.35818418,18733.582265745485,978009.0595501033
2020-07-14,141,59003225.23171928,17893.776718532106,978880.9915622211
2020-07-15,142,59003195.698796995,17090.492770362373,979713.8084326762
2020-07-16,143,59003168.55179833,16322.234737858022,980509.2134638433
2020-07-17,144,59003143.59952291,15587.560457634496,981268.8400194903
2020-07-18,145,59003120.66590412,14885.080084306395,981994.2540116081
2020-07-19,146,59003099.58884563,14213.454746566222,982686.956407832
2020-07-20,147,59003080.219130956,13571.395244202793,983348.3856248698
2020-07-21,148,59003062.41940263,12957.660782439672,983979.9198149639
2020-07-22,149,59003046.063245796,12371.057576999794,984582.8791772386
2020-07-23,150,59003031.03433351,11810.437495029475,985158.5281714889
2020-07-24,151,59003017.225620724,11274.696745406389,985708.0776339036
2020-07-25,152,59003004.53861605,10762.774522671465,986232.6868613122
2020-07-26,153,59002992.88271752,10273.651637945126,986733.4656445646
2020-07-27,154,59002982.17458205,9806.349210841523,987211.4762071448
2020-07-28,155,59002972.33754108,9359.927379831148,987667.7350791207
2020-07-29,156,59002963.30108814,8933.483962181508,988103.214949709
2020-07-30,157,59002955.00038606,8526.153188056198,988518.846425918
2020-07-31,158,59002947.3758027,8137.104483848056,988915.519713484
2020-08-01,159,59002940.37251062,7765.541203789319,989294.0862856264
2020-08-02,160,59002933.94010479,7410.699426112086,989655.3604691367
2020-08-03,161,59002928.03223829,7071.84679803478,990000.1209637162
2020-08-04,162,59002922.606304005,6748.281372408036,990329.112323624
2020-08-05,163,59002917.62314076,6439.330474764267,990643.0463845172
2020-08-06,164,59002913.046750754,6144.349625627821,990942.6036236593
2020-08-07,165,59002908.84404301,5862.72148396185,991228.4344730683
2020-08-08,166,59002904.9846092,5593.85479283087,991501.1605980033
2020-08-09,167,59002901.44050524,5337.183383366741,991761.3761114305
2020-08-10,168,59002898.18604563,5092.165215449577,992009.6487389536
2020-08-11,169,59002895.19763032,4858.281417371522,992246.5209523359
2020-08-12,170,59002892.45357546,4635.035374766719,992472.5110498082
2020-08-13,171,59002889.93395411,4421.951854258426,992688.1141916662
2020-08-14,172,59002887.620459035,4218.576139818005,992893.8034011835
2020-08-15,173,59002885.49627278,4024.4732044423113,993090.0305228139
2020-08-16,174,59002883.54594235,3839.2269218311353,993277.2271358535
2020-08-17,175,59002881.755271554,3662.4392902850072,993455.8054381951
2020-08-18,176,59002880.11122114,3493.729686208341,993626.1590926826
2020-08-19,177,59002878.60181232,3332.734151126911,993788.6640365879
