date,t,R0=0.5,R0=1,R0=1.1,R0=1.2,infetti_reali
2020-06-28,125,12314.727227943893,82114.91791026627,119199.7677583748,172330.46454268598,
2020-06-29,126,11872.758703010992,81901.83512138091,119659.40162459265,174072.16911305985,
2020-06-30,127,11446.643711749546,81687.66084636743,120116.55818997056,175820.79231392857,
2020-07-01,128,11035.814179723486,81472.41131431687,120571.18130172549,177576.0898318426,
2020-07-02,129,10639.722345424483,81256.10277010806,121023.214815381,179337.8104969212,
2020-07-03,130,10257.84004261668,81038.75145083621,121472.60260858234,181105.69625331066,
2020-07-04,131,9889.657992870336,80820.37358820427,121919.28859508962,182879.48227509236,
2020-07-05,132,9534.685132263594,80600.98540893215,122363.21673877664,184658.89688599537,
2020-07-06,133,9192.447973146538,80380.60313251567,122804.33104915505,186443.6614810532,
2020-07-07,134,8862.489972779373,80159.24296900032,123242.57560981244,188233.4905701267,
2020-07-08,135,8544.370922314676,79936.92111676972,123677.8946034467,190028.09177994775,
2020-07-09,136,8237.666368391789,79713.65376034893,124110.23231725804,191827.1658768097,
2020-07-10,137,7941.967060564603,79489.45706822255,124539.53315750322,193630.40695379893,
2020-07-11,138,7656.8783937655535,79264.34719066751,124965.74166420194,195437.50224157042,
2020-07-12,139,7382.0198863064425,79038.34026687405,125388.80252599575,197248.1321560668,
2020-07-13,140,7117.02467875298,78811.45241949148,125808.66059515897,199061.9703632598,
2020-07-14,141,6861.539066734779,78583.69974032039,126225.26089372463,200878.68381625917,
2020-07-15,142,6615.222005393699,78355.09829610276,126638.5486080119,202697.9327979875,
2020-07-16,143,6377.744661459198,78125.66412659956,127048.46914721507,204519.37097290007,
2020-07-17,144,6148.78997948173,77895.41324268603,127454.96814210339,206342.64563067595,
2020-07-18,145,5928.0522750211885,77664.36162446893,127857.99145820983,208167.39761809574,
2020-07-19,146,5715.236809257493,77432.5252194257,128257.4852110386,209993.26133721773,
2020-07-20,147,5510.059400066879,77199.9199405655,128653.39578138878,211819.86490232372,
2020-07-21,148,5312.246046705841,76966.5616646121,129045.66983079484,213646.83023489473,
2020-07-22,149,5121.532580104021,76732.46622994445,129434.25431563659,215473.77316714975,
2020-07-23,150,4937.66429268837,76497.64943355742,129819.09645978462,217300.3035544291,
2020-07-24,151,4760.3956023837545,76262.12703153708,130200.1438172974,219126.02524014548,
2020-07-25,152,4589.489727975547,76025.91473666362,130577.34429531453,220950.5361472153,
2020-07-26,153,4424.718386692716,75789.02821648437,130950.64615406118,222773.42866978733,
2020-07-27,154,4265.861474455658,75551.4830916096,131319.9980222996,224594.28967587827,
2020-07-28,155,4112.706775068307,75313.29493402966,131685.34891286676,226412.70064979256,
2020-07-29,156,3965.0496792944928,75074.47926545312,132046.6482382973,228228.23784387845,
2020-07-30,157,3822.692922989125,74835.05155566605,132403.8458265326,230040.47243909797,
2020-07-31,158,3685.4463111781624,74595.02722091254,132756.89193671514,231848.97062822848,
2020-08-01,159,3553.126466185071,74354.4216223022,133105.73726410462,233653.29360217715,
2020-08-02,160,3425.5565846862905,74113.25006662137,133450.33286910763,235452.99808432534,
2020-08-03,161,3302.5662122874073,73871.5278031456,133790.63032341585,237247.6363818713,
2020-08-04,162,3183.9910041724493,73629.27002019798,134126.58169920134,239036.75656254473,
2020-08-05,163,3069.672507410929,73386.49184515236,134458.13956648376,240819.90265241123,
2020-08-06,164,2959.4579508834818,73143.20834297752,134785.25700803692,242596.61484179622,
2020-08-07,165,2853.2000500176473,72899.4345148042,135107.88763431853,244366.42967359736,
2020-08-08,166,2750.7568004757654,72655.18529651478,135425.98559842372,246128.8800822707,
2020-08-09,167,2651.991289662724,72410.47555735563,135739.5056110619,247883.4958548729,
2020-08-10,168,2556.7715150466292,72165.32009857231,136048.40295555678,249629.80381486705,
2020-08-11,169,2464.9702156726685,71919.73365206736,136352.63347785236,251367.3280305791,
2020-08-12,170,2376.4646936808367,71673.73087988915,136652.153533306,253095.59005838467,
2020-08-13,171,2291.1366512643503,71427.32637549404,136946.92014294243,254814.10919328526,
2020-08-14,172,2208.8720336131005,71180.53465733479,137236.89095560682,256522.4027204347,
2020-08-15,173,2129.5608833629226,70933.37016945072,137522.02425397147,258219.9859928362,
2020-08-16,174,2053.0971864175112,70685.8472806072,137802.2789682364,259906.37286226684,
2020-08-17,175,1979.378730896671,70437.98028313207,138077.61468979003,261581.0759899031,
2020-08-18,176,1908.3069713584027,70189.78339177648,138347.99168482973,263243.6070662178,
2020-08-19,177,1839.7869029552387,69941.27074260027,138613.37090794268,264893.4770928515,
2020-08-20,178,1773.7269283561366,69692.45639188174,138873.71401564658,266530.1966706449,
2020-08-21,179,1710.0387356891554,69443.35431505197,139128.983331193,268153.27629379637,
2020-08-22,180,1648.6371811671252,69193.97840567237,139379.141829845,269762.22649069567,
2020-08-23,181,1589.4401804605047,68944.34247585137,139624.15328247927,271356.5581516199,
2020-08-24,182,1532.368593688733,68694.46025393748,139863.98220337753,272935.78301457776,
2020-08-25,183,1477.3461198399748,68444.34538291548,140098.59386024656,274499.41386617185,
2020-08-26,184,1424.2991953300043,68194.01142016552,140327.95428594688,276046.96485043823,
2020-08-27,185,1373.1569000871798,67943.47183656435,140552.0302901129,277577.9517819414,
2020-08-28,186,1323.8508583099185,67692.74001561185,140770.7894706646,279091.892463012,
2020-08-29,187,1276.3151471143653,67441.82925258308,140984.20022521066,280588.30691098806,
2020-08-30,188,1230.486208855226,67190.75275370534,141192.2317622863,282066.7175522354,
2020-08-31,189,1186.302769998879,66939.52363536095,141394.85403821868,283526.649832811,
2020-09-01,190,1143.7057554303562,66688.15492331501,141592.0378092481,284967.63242206315,
2020-09-02,191,1102.6382094207634,66436.65955191999,141783.75471311426,286389.1975241251,
2020-09-03,192,1063.0452198570126,66185.05036329597,141969.9772287612,287790.8812004443,
2020-09-04,193,1024.873848145705,65933.34010686899,142150.67868562802,289172.2236938078,
2020-09-05,194,988.0730552444494,65681.54143860402,142325.8332727645,290532.7697125043,
2020-09-06,195,952.5936332873911,65429.66692034773,142495.41604777236,291872.0685543346,
2020-09-07,196,918.3881401090212,65177.72901920623,142659.402945572,293189.6747216117,
2020-09-08,197,885.4108386586557,64925.74010694827,142817.77078699434,294485.14815782884,
2020-09-09,198,853.6176331727274,64673.7124594336,142970.49728413988,295758.0545362827,
2020-09-10,199,822.9660100178622,64421.65825606658,143117.56096519178,297007.965571704,
2020-09-11,200,793.4149811110256,64169.58957927506,143258.9412752523,298234.45932973374,
2020-09-12,201,764.925031574949,63917.51841393054,143394.6185953809,299437.12053382886,
2020-09-13,202,737.4580646490605,63665.45664429484,143524.57422014597,300615.5408571905,
2020-09-14,203,710.9773505091697,63413.41605680646,143648.7903638425,301769.3191087979,
2020-09-15,204,685.447477381545,63161.408339988346,143767.25016647516,302898.0616649845,
2020-09-16,205,660.8343062992652,62909.44508298909,143879.93769950795,304001.3827367387,
2020-09-17,206,637.1049235740926,62657.53777520109,143986.83797137934,305078.90462806576,
2020-09-18,207,614.2275965159297,62405.69780590348,144087.93693278386,306130.25800869457,
2020-09-19,208,592.1717311940253,62153.9364639301,144183.22147284244,307155.08217962884,
2020-09-20,209,570.9078333363261,61902.26493736216,144272.67935730604,308153.02533089434,
2020-09-21,210,550.4074673226119,61650.694313245906,144356.29933424827,309123.74480448366,
2020-09-22,211,530.6432178729881,61399.23557733506,144434.07111635854,310066.9076248322,
2020-09-23,212,511.5886535553191,61147.8996138582,144505.98537097606,310982.19045402535,
2020-09-24,213,493.21829299121003,60896.69720531098,144572.03372288588,311869.2797970233,
2020-09-25,214,475.507569479817,60645.63903227317,144632.2087568326,312727.8723081256,
2020-09-26,215,458.4327978504868,60394.73567325066,144686.5040197525,313557.6750100175,
2020-09-27,216,441.97114293611065,60143.997603386444,144734.9140227231,314358.4055029046,
2020-09-28,217,426.100590361473,59893.43518286859,144777.43424263128,315129.79216315766,
2020-09-29,218,410.7999160289431,59643.05867514508,144814.06111014477,315871.57433492836,
2020-09-30,219,396.0486574386933,59392.87824350442,144844.79197626663,316583.5028033331,
2020-10-01,220,381.8270864527455,59142.903947979124,144869.6251861668,317265.3397625792,
2020-10-02,221,368.1161840458588,58893.145745282614,144888.5600518507,317916.8588426872,
2020-10-03,222,354.897613985265,58643.61348876931,144901.59684790528,318537.8453888778,
2020-10-04,223,342.1536980157857,58394.31692841798,144908.73681072806,319128.09660987044,
2020-10-05,224,329.867392332168,58145.26571083816,144909.98213744131,319687.4217146594,
2020-10-06,225,318.02226575203343,57896.4693792999,144905.33598449096,320215.6420373541,
2020-10-07,226,306.60247701627674,57647.93737378668,144894.80246593093,320712.5911496866,
2020-10-08,227,295.59275331808476,57399.679031071464,144878.3866513927,321178.1151801629,
2020-10-09,228,284.9783699789983,57151.70358481607,144856.09455271057,321612.0728559612,
2020-10-10,229,274.7451315798667,56904.02016569362,144827.93311570067,322014.33535000373,
2020-10-11,230,264.87935238484664,56656.63780153426,144793.91024546066,322384.78650066885,
2020-10-12,231,255.3678377632858,56409.565413656186,144754.0347886336,322723.32287884585,
2020-10-13,232,246.19786663401135,56162.811801272175,144708.3165291157,323029.8538430953,
2020-10-14,233,237.35717515265026,55916.38567366454,144656.76618378962,323304.3015827176,
2020-10-15,234,228.83393983064718,55670.29563966297,144599.3953979274,323546.6011485348,
2020-10-16,235,220.61676145999283,55424.55020509086,144536.2167402636,323756.70056564215,
2020-10-17,236,212.6946499492245,55179.157772962855,144467.2436977382,323934.56089046545,
2020-10-18,237,205.0570102197406,54934.12664370277,144392.49066991534,324080.1560118953,
2020-10-19,238,197.69362764999744,54689.46501538224,144311.97296719206,324193.47273800446,
2020-10-20,239,190.59465416571717,54445.18098397969,144225.70680211065,324274.5107772097,
2020-10-21,240,183.75059514206373,54201.28254366003,144133.70927911266,324323.28270636447,
2020-10-22,241,177.15229720955202,53957.777587074765,144035.99839036717,324339.813927254,
2020-10-23,242,170.79093570382315,53714.67390568261,143932.59300861353,324324.1426114876,
2020-10-24,243,164.6580026293452,53471.97919009074,143823.51287967755,324276.31968300714,
2020-10-25,244,158.7452953466669,53229.70103041647,143708.77861466157,324196.4088206685,
2020-10-26,245,153.04490602867475,52987.846916669536,143588.41168180775,324084.4862011594,
2020-10-27,246,147.54921084039623,52746.42423104821,143462.43439803532,323940.6404752902,
2020-10-28,247,142.25085952373846,52505.440235632974,143330.86992167003,323764.972669315,
2020-10-29,248,137.1427656267532,52264.90211056181,143193.74228067967,323557.59607146005,
2020-10-30,249,132.21809738651908,52024.816937649906,143051.07631833898,323318.63610849314,
2020-10-31,250,127.4702684010296,51785.19169928017,142902.89768036373,323048.2302125189,
2020-11-01,251,122.89292861647873,51546.033278800394,142749.23281825086,322746.52769008407,
2020-11-02,252,118.47995588859023,51307.34846093768,142590.10897925476,322413.68961028144,
2020-11-03,253,114.22544809875176,51069.14393223022,142425.5541960528,322049.8885795277,
2020-11-04,254,110.1237151127052,50831.42628147615,142255.59727610022,321655.3085954823,
2020-11-05,255,106.16927098138041,50594.20200019981,142080.26779067455,321230.144875504,
2020-11-06,256,102.35682665288242,50357.477483135066,141899.5960636093,320774.6036733723,
2020-11-07,257,98.68128315471161,50121.259028726025,141713.6131597169,320288.902088433,
2020-11-08,258,95.13772466215217,49885.5528396449,141522.35087293244,319773.2678675076,
2020-11-09,259,91.72141174916209,49650.365023327126,141325.841792385,319227.9391959877,
2020-11-10,260,88.4277750942576,49415.70159252373,141124.11924374106,318653.1644608628,
2020-11-11,261,85.25240958443806,49181.56845248747,140917.2171982832,318049.2020665638,
2020-11-12,262,82.19106834045198,48947.97139899596,140705.1703169405,317416.3202026514,
2020-11-13,263,79.2396568762624,48714.916152271566,140488.0139378926,316754.79660960595,
2020-11-14,264,76.3942276634284,48482.408339054666,140265.78406390487,316064.91834319656,
2020-11-15,265,73.65097503189274,48250.453492745146,140038.51734939482,315346.9815341442,
2020-11-16,266,71.00623002031301,48019.057053941426,139806.25108722967,314601.29114352464,
2020-11-17,267,68.45645532172476,47788.22437099321,139569.02319525531,313828.16070284776,
2020-11-18,268,65.9982405894234,47557.96070056786,139326.87220255643,313027.91191896785,
2020-11-19,269,63.628298026739735,47328.27120823057,139079.83723544763,312200.8745974755,
2020-11-20,270,61.34345794872769,47099.16096903817,138827.9580668871,311347.38636587845,
2020-11-21,271,59.14066440813023,46870.63496814662,138571.2751464107,310467.79237579246,
2020-11-22,272,57.01697114169934,46642.69810143235,138309.82939325814,309562.44503690506,
2020-11-23,273,54.969537755715145,46415.35517612707,138043.66227660206,308631.70374954,
2020-11-24,274,52.99562590095738,46188.610911466494,137772.81580509894,307675.93463634135,
2020-11-25,275,51.092595487353826,45962.46993935137,137497.33251273088,306695.51027361065,
2020-11-26,276,49.25790118343631,45736.9367860821,137217.2554444355,305690.80942284357,
2020-11-27,277,47.48908911699517,45512.015885513414,136932.6281415239,304662.2167210873,
2020-11-28,278,45.78379357875098,45287.71159996281,136643.4946268866,303610.1218904133,
2020-11-29,279,44.139733746418386,45064.02820563616,136349.89938998772,302534.92012352723,
2020-11-30,280,42.554710661879916,44840.969893246074,136051.88737164708,301437.011749865,
2020-12-01,281,41.02660437730333,44618.54076864032,135749.50398767495,300316.8018337595,
2020-12-02,282,39.55337111456946,44396.74485344049,135442.79524509414,299174.6998975252,
2020-12-03,283,38.13304043015879,44175.58608569088,135131.80746138078,298011.1196465748,
2020-12-04,284,36.763712604902146,43955.068320517596,134816.58734177114,296826.4786970704,
2020-12-05,285,35.44355617532378,43735.195330797804,134497.18198284318,295621.19830661966,
2020-12-06,286,34.170805485923474,43515.97080783926,134173.63885777138,294395.7031085366,
2020-12-07,287,32.94375823553996,43297.39836206995,133846.0058014378,293150.4208128214,
2020-12-08,288,31.760773223408773,43079.48152373805,133514.33099539988,291885.7814569,
2020-12-09,289,30.620268213656185,42862.223743621995,133178.6629527141,290602.2176883567,
2020-12-10,290,29.520717826196833,42645.628393300765,132839.05050261665,289300.1644655836,
2020-12-11,291,28.460651413220784,42429.698744248046,132495.54277506002,287980.05867808644,
2020-12-12,292,27.438651112957256,42214.43799343466,132148.18919708926,286642.3388757547,
2020-12-13,293,26.45335000229632,41999.84927000399,131797.03961615168,285287.44500067085,
2020-12-14,294,25.503430279536776,41785.935625867314,131442.1440989488,283915.81812167104,
2020-12-15,295,24.587621426560876,41572.700036370225,131083.552937587,282527.9001760511,
2020-12-16,296,23.704698528326343,41360.14540096615,130721.3166688662,281124.1339270537,
2020-12-17,297,22.853480674686924,41148.27454389669,130355.4860604946,279704.96254865517,
2020-12-18,298,22.032829394670525,40937.09021487904,129986.11209727814,278270.82930328225,
2020-12-19,299,21.24164706589183,40726.595089800314,129613.24596728478,276822.17738868785,
2020-12-20,300,20.478875463504824,40516.7917714188,129236.93904798343,275359.4497109841,
2020-12-21,301,19.743494377617523,40307.68279007229,128857.24289238878,273883.08866412117,
2020-12-22,302,19.03452026423076,40099.27060439325,128474.20922595284,272393.53591617063,
2020-12-23,303,18.35100486872518,39891.55760203103,128087.88992578535,270891.23220277525,
2020-12-24,304,17.69203397289213,39684.546100381034,127698.33699823945,269376.616788014,
2020-12-25,305,17.05672619891806,39478.238345795464,127305.60257152688,267850.1273176775,
2020-12-26,306,16.444231846876807,39272.63649443174,126909.73888194158,266312.2000232529,
2020-12-27,307,15.8537317036405,39067.74264277984,126510.79826006938,264763.26928292814,
2020-12-28,308,15.284435960866574,38863.55882472359,126108.83311698347,263203.76742066495,
2020-12-29,309,14.73558318043377,38660.08700633932,125703.89593042606,261634.12450993338,
2020-12-30,310,14.206439292582756,38457.32908657426,125296.03923097556,260054.7681821003,
2020-12-31,311,13.696296565409618,38255.286897928825,124885.31562563525,258466.1234394673,
2021-01-01,312,13.204472670413084,38053.96220714315,124471.7778273361,256868.61255909115,
2021-01-02,313,12.73030978763689,37853.356715887734,124055.47851269867,255262.65500064768,
2021-01-03,314,12.273173742166582,37653.472061458095,123636.4703668802,253648.66700807287,
2021-01-04,315,11.832453112670928,37454.30981747368,123214.80607439044,252027.0615559616,
2021-01-05,316,11.40755842432602,37255.871494580766,122790.53830685555,250398.2482024701,
2021-01-06,317,10.99792137483991,37058.15854115954,122363.71971084476,248762.6329448507,
2021-01-07,318,10.602994090120127,36861.17234403527,121934.40289575973,247120.61808123408,
2021-01-08,319,10.222248353198397,36664.91422919364,121502.64042178703,245472.60207871243,
2021-01-09,320,9.855174907118052,36469.38545963403,121068.48479389113,243818.97940882327,
