date,t,s,i,r
2020-07-02,129,58649384.72446207,13971.13968182426,1336644.1358561295
2020-07-03,130,58649284.62911996,13104.558051750908,1337610.8128283138
2020-07-04,131,58649193.55482558,12289.01453020249,1338517.4306442386
2020-07-05,132,58649110.70655609,11521.75755222883,1339367.535891707
2020-07-06,133,58649035.35721124,10800.159750799843,1340164.4830379833
2020-07-07,134,58648966.842053846,10121.71472747193,1340911.443218701
2020-07-08,135,58648904.55358807,9484.033649293997,1341611.412762656
2020-07-09,136,58648847.93683077,8884.84169706765,1342267.221472186
2020-07-10,137,58648796.48495011,8321.974411623272,1342881.540638286
2020-07-11,138,58648749.73525447,7793.37399273931,1343456.8907528205
2020-07-12,139,58648707.26547946,7297.085489388692,1343995.6490311748
2020-07-13,140,58648668.69038051,6831.253015507393,1344500.0566040026
2020-07-14,141,58648633.65859585,6394.115937052385,1344972.2254671275
2020-07-15,142,58648601.849762,5984.005091962547,1345414.145146064
2020-07-16,143,58648572.97186359,5599.339043971947,1345827.6890924643
2020-07-17,144,58648546.75879972,5238.620369367241,1346214.620830946
2020-07-18,145,58648522.968148865,4900.432043525727,1346576.5998076384
2020-07-19,146,58648501.379121825,4583.433856872334,1346915.18702133
2020-07-20,147,58648481.79067999,4286.358940498153,1347231.8503795401
2020-07-21,148,58648464.019814834,4008.01036463955,1347527.9698205527
2020-07-22,149,58648447.89997099,3747.257839037069,1347804.842189994
2020-07-23,150,58648433.2796005,3503.0345237365646,1348063.685875792
2020-07-24,151,58648420.020843245,3274.3339191402756,1348305.6452376412
2020-07-25,152,58648407.998315975,3060.2068748198003,1348531.79480923
2020-07-26,153,58648397.098009124,2859.758698238781,1348743.1432926613
2020-07-27,154,58648387.21627391,2672.146383907261,1348940.6373422113
2020-07-28,155,58648378.25890091,2496.5759347792077,1349125.165164333
2020-07-29,156,58648370.1402759,2332.2997992474006,1349297.5599248777
2020-07-30,157,58648362.78261049,2178.6144115238294,1349458.6029780158
2020-07-31,158,58648356.1152395,2034.8578366466663,1349609.026923885
2020-08-01,159,58648350.07397895,1900.4075196414994,1349749.5185014328
2020-08-02,160,58648344.600542754,1774.678132285805,1349880.7213249896
2020-08-03,161,58648339.64200787,1657.1195264620178,1350003.2384656938
2020-08-04,162,58648335.150330074,1547.2147736510938,1350117.6348963063
2020-08-05,163,58648331.081899196,1444.4783034722052,1350224.4397973595
2020-08-06,164,58648327.397137105,1348.454129401307,1350324.148733527
2020-08-07,165,58648324.06012916,1258.7141662657298,1350417.2257046092
2020-08-08,166,58648321.03829018,1174.85662863644,1350504.10508122
2020-08-09,167,58648318.302059636,1096.5045114000368,1350585.1934290011
2020-08-10,168,58648315.82462413,1023.3041494073756,1350660.8712265023
2020-08-11,169,58648313.58166557,954.9238513605758,1350731.4944831154
2020-08-12,170,58648311.55113092,891.0526069630861,1350797.3962621633
2020-08-13,171,58648309.713025734,831.3988599432147,1350858.888114371
2020-08-14,172,58648308.049220994,775.6893545413704,1350916.261424516
2020-08-15,173,58648306.543283,723.6680369454929,1350969.7886801057
2020-08-16,174,58648305.18031675,675.0950207311832,1351019.7246625647
2020-08-17,175,58648303.94682136,629.7456129650203,1351066.3075657191
2020-08-18,176,58648302.83056153,587.4093868839902,1351109.7600516384
2020-08-19,177,58648301.820451766,547.8893162064965,1351150.2902320828
2020-08-20,178,58648300.90644685,511.00095177394684,1351188.0926014322
2020-08-21,179,58648300.07944548,476.5716482840772,1351223.3489062956
2020-08-22,180,58648299.33120514,444.4398375846347,1351256.2289573336
2020-08-23,181,58648298.65425701,414.4543387154502,1351286.8914043314
2020-08-24,182,58648298.041838385,386.473715455852,1351315.4844462075
2020-08-25,183,58648297.4878237,360.36566542725325,1351342.1465109198
2020-08-26,184,58648296.986665145,336.00644856656345,1351367.0068863307
2020-08-27,185,58648296.5333406,313.2803512376856,1351390.186308203
2020-08-28,186,58648296.12330104,292.07917654075027,1351411.7975224755
2020-08-29,187,58648295.752429165,272.3017732265423,1351431.9457976583
2020-08-30,188,58648295.41699694,253.8535860944537,1351450.7294170123
2020-08-31,189,58648295.11362922,236.6462372841515,1351468.2401335486
2020-09-01,190,58648294.83927172,220.5971343823702,1351484.563593952
2020-09-02,191,58648294.59115879,205.62909714426135,1351499.7797441166
2020-09-03,192,58648294.366788186,191.67001459608937,1351513.9631972744
2020-09-04,193,58648294.16389485,178.65251669448497,1351527.183588515
2020-09-05,194,58648293.980428815,166.51366985952646,1351539.505901379
2020-09-06,195,58648293.81453558,155.19469226480112,1351550.9907722098
2020-09-07,196,58648293.66453634,144.64068242788707,1351561.6947812843
2020-09-08,197,58648293.528912656,134.80037113449822,1351571.6707162648
2020-09-09,198,58648293.40629037,125.62588317818886,1351580.9678265117
2020-09-10,199,58648293.29542616,117.07251733483953,1351589.6320565615
2020-09-11,200,58648293.19519555,109.09854066545027,1351597.7062638456
2020-09-12,201,58648293.10458083,101.66499234564661,1351605.230426882
2020-09-13,202,58648293.02266176,94.73550509839932,1351612.2418331967
2020-09-14,203,58648292.948605716,88.27613323121041,1351618.775261105
2020-09-15,204,58648292.881659545,82.255194447496,1351624.8631460597
2020-09-16,205,58648292.82114221,76.64312191143705,1351630.5357359317
2020-09-17,206,58648292.766437486,71.41232317304329,1351635.821239395
2020-09-18,207,58648292.71698828,66.53705218466072,1351640.745959591
2020-09-19,208,58648292.67229063,61.993285745073855,1351645.3344236764
2020-09-20,209,58648292.63188879,57.75861025494829,1351649.6095010107
2020-09-21,210,58648292.5953707,53.81211573084755,1351653.5925136202
2020-09-22,211,58648292.56236361,50.134294784059236,1351657.3033416565
2020-09-23,212,58648292.53253059,46.70695122085764,1351660.7605182403
2020-09-24,213,58648292.5055669,43.51311160337156,1351663.9813215544
2020-09-25,214,58648292.48119698,40.536944471515234,1351666.9818586062
2020-09-26,215,58648292.45917176,37.763684658083044,1351669.7771436423
2020-09-27,216,58648292.43926593,35.179561208906705,1351672.3811729157
2020-09-28,217,58648292.4212759,32.77173230424934,1351674.8069918521
2020-09-29,218,58648292.405017525,30.52822216020149,1351677.0667603693
2020-09-30,219,58648292.39032435,28.43786358449624,1351679.1718121239
2020-10-01,220,58648292.37704591,26.490244079558252,1351681.1327100694
2020-10-02,221,58648292.365046136,24.67565456802395,1351682.9592993557
